filename,width,height,class,xmin,ymin,xmax,ymax
016.png,756,1008,avocado,200,168,627,800
002.png,756,1008,avocado,322,303,570,675
003.png,756,1008,avocado,202,362,562,897
017.png,756,1008,avocado,229,335,616,783
001.png,189,252,avocado,31,77,140,179
015.png,756,1008,avocado,143,326,530,834
029.png,756,1008,avocado,230,297,595,781
028.png,756,1008,avocado,230,302,570,776
014.png,756,1008,avocado,146,334,535,821
004.png,756,1008,avocado,203,370,553,886
010.png,756,1008,avocado,194,283,556,749
011.png,756,1008,avocado,200,432,567,943
005.png,756,1008,avocado,400,332,662,687
013.png,756,1008,avocado,237,338,649,889
007.png,756,1008,avocado,315,321,553,662
006.png,756,1008,avocado,337,354,581,676
012.png,756,1008,avocado,202,435,570,932
023.png,756,1008,avocado,188,326,548,799
022.png,756,1008,avocado,145,297,559,892
020.png,756,1008,avocado,289,186,686,780
008.png,756,1008,avocado,310,78,635,564
009.png,756,1008,avocado,184,286,556,762
021.png,756,1008,avocado,257,278,635,807
019.png,756,1008,avocado,383,180,691,646
025.png,756,1008,avocado,267,191,716,787
031.png,756,1008,avocado,281,165,446,386
030.png,756,1008,avocado,115,194,645,846
024.png,756,1008,avocado,230,253,621,811
018.png,756,1008,avocado,338,84,718,660
032.png,756,1008,avocado,526,237,715,497
026.png,756,1008,avocado,372,351,713,862
027.png,756,1008,avocado,245,243,570,713
